Tier,Samples,Train,Test,Response,Model,R2,RMSE,MAE,MAPE_pct
Stress < 276 MPa (yield),312,218,94,Deflection,RSM,0.996325513449582,2.7772369201665525e-06,1.9146090842415905e-06,0.4775523272185045
Stress < 276 MPa (yield),312,218,94,Deflection,SK,0.9956309919968446,3.0283496657059866e-06,1.851735315687012e-06,0.44657347889195537
Stress < 276 MPa (yield),312,218,94,Deflection,ARD-UK,0.9892649074783695,4.7469810162632724e-06,3.2069667259285394e-06,0.7921084332790078
Stress < 276 MPa (yield),312,218,94,Deflection,FBW-UK,0.9584614637406842,9.337705945260752e-06,6.95149528629016e-06,1.6887423335899914
Stress < 276 MPa (yield),312,218,94,Stress,RSM,0.8310005749232149,10813351.791381096,8402095.76757749,3.565524796684929
Stress < 276 MPa (yield),312,218,94,Stress,SK,0.8447501650017973,10364140.509289283,7703321.969105472,3.2914137816373734
Stress < 276 MPa (yield),312,218,94,Stress,ARD-UK,0.6846940828723513,14770111.676689988,11610745.628492123,4.852930547159887
Stress < 276 MPa (yield),312,218,94,Stress,FBW-UK,0.8563121029333337,9970749.672828732,7102741.172812266,3.0088932357190794
Stress < 276 MPa (yield),312,218,94,Mass,RSM,0.9978992809653594,0.010836454074044623,0.008133877336802814,0.6844086947569032
Stress < 276 MPa (yield),312,218,94,Mass,SK,0.9980488925621619,0.010443445428297922,0.006174409305733644,0.5241422476877753
Stress < 276 MPa (yield),312,218,94,Mass,ARD-UK,0.9983476475469983,0.00961068967291856,0.00523990671348257,0.4404564839659646
Stress < 276 MPa (yield),312,218,94,Mass,FBW-UK,0.998345831866006,0.009615968557414938,0.0052444685132390645,0.4406436196254057
Stress < 310 MPa (UTS),447,312,135,Deflection,RSM,0.9964584272255043,2.3694644856440726e-06,1.8588538538479146e-06,0.45400351805643285
Stress < 310 MPa (UTS),447,312,135,Deflection,SK,0.9976419639859463,1.9334250245049004e-06,1.4370569887234748e-06,0.35389345289677004
Stress < 310 MPa (UTS),447,312,135,Deflection,ARD-UK,0.9899919982104307,3.9831421496344306e-06,3.167480143819614e-06,0.7804468003399488
Stress < 310 MPa (UTS),447,312,135,Deflection,FBW-UK,0.9573894386591855,8.218844170616356e-06,6.675686582011011e-06,1.6631528647521572
Stress < 310 MPa (UTS),447,312,135,Stress,RSM,0.8872324053474114,12194861.010114716,9446100.226549627,3.6790025315391937
Stress < 310 MPa (UTS),447,312,135,Stress,SK,0.8670016146723512,13243655.664973464,9604464.752601592,3.80944514255284
Stress < 310 MPa (UTS),447,312,135,Stress,ARD-UK,0.9239467708567931,10014828.708183078,6805564.109193899,2.7107800132275965
Stress < 310 MPa (UTS),447,312,135,Stress,FBW-UK,0.9239544510992326,10014323.021210393,6805189.270757799,2.7106355624797613
Stress < 310 MPa (UTS),447,312,135,Mass,RSM,0.998378303827828,0.009744289984752874,0.007573516931695712,0.6051003546967708
Stress < 310 MPa (UTS),447,312,135,Mass,SK,0.9978656172667383,0.011178965181718549,0.008241878885850193,0.6546179211931845
Stress < 310 MPa (UTS),447,312,135,Mass,ARD-UK,0.9989323253893628,0.007906511586330054,0.0049409347154620465,0.396126088650157
Stress < 310 MPa (UTS),447,312,135,Mass,FBW-UK,0.9989331597894932,0.007903421467073658,0.0049390347863298555,0.3959956658807855
Unfiltered (all samples),799,559,240,Deflection,RSM,0.6517910941748554,0.0008491045829815952,0.0006785303750850839,122.67852661563263
Unfiltered (all samples),799,559,240,Deflection,SK,0.7601459085693002,0.0007047171055895009,0.00045352938333007996,69.3386584131919
Unfiltered (all samples),799,559,240,Deflection,ARD-UK,0.9925555321504701,0.0001241532455249411,2.4531966656358382e-05,3.5529198533999855
Unfiltered (all samples),799,559,240,Deflection,FBW-UK,0.9804705571030755,0.0002010880094240553,7.948315176381932e-05,14.274646035534335
Unfiltered (all samples),799,559,240,Stress,RSM,0.48068186865877904,273328207.9498426,150830706.0930173,37.66312539508109
Unfiltered (all samples),799,559,240,Stress,SK,0.43172412360752255,285921834.2794862,130677859.78961684,28.78681288148286
Unfiltered (all samples),799,559,240,Stress,ARD-UK,0.8096872141173831,165463304.87899584,100137717.94617072,25.747790674024607
Unfiltered (all samples),799,559,240,Stress,FBW-UK,0.782721906853534,176797321.74093962,105960338.50320025,27.136001230581382
Unfiltered (all samples),799,559,240,Mass,RSM,0.9972718916198485,0.012921762348704006,0.010912208328179929,0.8395384880472726
Unfiltered (all samples),799,559,240,Mass,SK,0.9978124166808439,0.011571062547253815,0.008734402903599114,0.6697392948846975
Unfiltered (all samples),799,559,240,Mass,ARD-UK,0.9987608356189707,0.008708741513227841,0.004873251746620243,0.38412959283298603
Unfiltered (all samples),799,559,240,Mass,FBW-UK,0.9989742890206721,0.007923251503985266,0.004262674732275857,0.341101147514259
