Tier,Samples,Train,Test,Response,Model,R2,RMSE,MAE,MAPE_pct
Stress < 276 MPa (yield),312,218,94,Deflection,RSM,0.996325513449582,2.7772369201665525e-06,1.9146090842415905e-06,0.4775523272185045
Stress < 276 MPa (yield),312,218,94,Deflection,SK,0.9956309919968446,3.0283496657059866e-06,1.851735315687012e-06,0.44657347889195537
Stress < 276 MPa (yield),312,218,94,Deflection,ARD-UK,0.9892649074783695,4.7469810162632724e-06,3.2069667259285394e-06,0.7921084332790078
Stress < 276 MPa (yield),312,218,94,Deflection,FBW-UK,0.9584614637406842,9.337705945260752e-06,6.95149528629016e-06,1.6887423335899914
Stress < 276 MPa (yield),312,218,94,Stress,RSM,0.8310005749232149,10813351.791381096,8402095.76757749,3.565524796684929
Stress < 276 MPa (yield),312,218,94,Stress,SK,0.8447501650017973,10364140.509289283,7703321.969105472,3.2914137816373734
Stress < 276 MPa (yield),312,218,94,Stress,ARD-UK,0.6846940828723513,14770111.676689988,11610745.628492123,4.852930547159887
Stress < 276 MPa (yield),312,218,94,Stress,FBW-UK,0.8563121029333337,9970749.672828732,7102741.172812266,3.0088932357190794
Stress < 276 MPa (yield),312,218,94,Mass,RSM,0.9978992809653594,0.010836454074044623,0.008133877336802814,0.6844086947569032
Stress < 276 MPa (yield),312,218,94,Mass,SK,0.9980488925621619,0.010443445428297922,0.006174409305733644,0.5241422476877753
Stress < 276 MPa (yield),312,218,94,Mass,ARD-UK,0.9983476475469983,0.00961068967291856,0.00523990671348257,0.4404564839659646
Stress < 276 MPa (yield),312,218,94,Mass,FBW-UK,0.998345831866006,0.009615968557414938,0.0052444685132390645,0.4406436196254057
