Tier,Samples,Train,Test,Response,Model,R2,RMSE,MAE,MAPE_pct
Stress < 310 MPa (UTS),447,312,135,Deflection,RSM,0.9964584272255043,2.3694644856440726e-06,1.8588538538479146e-06,0.45400351805643285
Stress < 310 MPa (UTS),447,312,135,Deflection,SK,0.9976419639859463,1.9334250245049004e-06,1.4370569887234748e-06,0.35389345289677004
Stress < 310 MPa (UTS),447,312,135,Deflection,ARD-UK,0.9899919982104307,3.9831421496344306e-06,3.167480143819614e-06,0.7804468003399488
Stress < 310 MPa (UTS),447,312,135,Deflection,FBW-UK,0.9573894386591855,8.218844170616356e-06,6.675686582011011e-06,1.6631528647521572
Stress < 310 MPa (UTS),447,312,135,Stress,RSM,0.8872324053474114,12194861.010114716,9446100.226549627,3.6790025315391937
Stress < 310 MPa (UTS),447,312,135,Stress,SK,0.8670016146723512,13243655.664973464,9604464.752601592,3.80944514255284
Stress < 310 MPa (UTS),447,312,135,Stress,ARD-UK,0.9239467708567931,10014828.708183078,6805564.109193899,2.7107800132275965
Stress < 310 MPa (UTS),447,312,135,Stress,FBW-UK,0.9239544510992326,10014323.021210393,6805189.270757799,2.7106355624797613
Stress < 310 MPa (UTS),447,312,135,Mass,RSM,0.998378303827828,0.009744289984752874,0.007573516931695712,0.6051003546967708
Stress < 310 MPa (UTS),447,312,135,Mass,SK,0.9978656172667383,0.011178965181718549,0.008241878885850193,0.6546179211931845
Stress < 310 MPa (UTS),447,312,135,Mass,ARD-UK,0.9989323253893628,0.007906511586330054,0.0049409347154620465,0.396126088650157
Stress < 310 MPa (UTS),447,312,135,Mass,FBW-UK,0.9989331597894932,0.007903421467073658,0.0049390347863298555,0.3959956658807855
